search_type,num_results,boost_dict,hit_rate,mrr
lexical,5,"{""source"": 6.981393949882269, ""section"": 3.4025051651799187, ""text"": 1.5547949981178155}",0.6888888888888889,0.5248148148148148
lexical,10,"{""source"": 0.24786361898188725, ""section"": 7.365644717550821, ""text"": 3.3218546794642867}",0.7777777777777778,0.5372222222222223
hybrid_rff,5,"{""source"": 4.937952193450843, ""section"": 0.8044185189930098, ""text"": 0.3986078418361305}",0.8444444444444444,0.6555555555555556
semantic,5,{},0.8444444444444444,0.667037037037037
semantic,10,{},0.9333333333333333,0.6796913580246913
hybrid_rff,10,"{""source"": 9.152559087431595, ""section"": 2.2136720007399004, ""text"": 0.6321704116019544}",0.9555555555555556,0.7054585537918872
