search_type,num_results,boost_dict,hit_rate,mrr
lexical,5,"{""source"": 3.380855621474553, ""section"": 5.883087184572333, ""text"": 2.30114732596577}",0.6521739130434783,0.5204347826086957
lexical,10,"{""source"": 6.6945884461991065, ""section"": 5.639695819300191, ""text"": 2.1796454090650363}",0.7391304347826086,0.5334265010351967
hybrid_rff,5,"{""source"": 5.077376758096564, ""section"": 8.205494731855783, ""text"": 2.8283898328282664}",0.8173913043478261,0.6800000000000002
hybrid_rff,10,"{""source"": 8.238553513904476, ""section"": 9.093876384278921, ""text"": 3.021901745292502}",0.8869565217391304,0.6850586611456178
semantic,5,{},0.808695652173913,0.6942028985507247
semantic,10,{},0.8869565217391304,0.7064699792960663
